step,value,wall_time
215,2.0,1766320145.865488
294,1.0,1766320160.356582
411,1.0,1766320181.9055753
485,0.75,1766320196.3154702
561,0.75,1766320210.1090615
634,0.6000000238418579,1766320225.1811924
779,0.5,1766320250.6663194
909,0.7142857313156128,1766320273.1384447
1013,1.0,1766320292.7069376
1088,1.0,1766320306.4305177
1208,0.8888888955116272,1766320328.1112895
1312,0.8999999761581421,1766320347.1809804
1390,0.9090909361839294,1766320363.1111805
1505,0.9166666865348816,1766320383.9056525
1692,0.9166666865348816,1766320414.754745
1795,1.076923131942749,1766320433.1282918
1872,1.0714285373687744,1766320447.465678
1975,1.0666667222976685,1766320467.02774
2051,1.0,1766320481.5616164
2123,1.0,1766320494.716149
2238,0.9411764740943909,1766320515.671359
2318,0.9444444179534912,1766320531.377602
2479,0.8947368264198303,1766320559.0544252
2581,1.0,1766320577.0438607
2657,1.0,1766320590.8343344
2765,0.9523809552192688,1766320610.856323
2988,1.0909091234207153,1766320648.6631074
3108,1.08695650100708,1766320669.9131718
3269,1.1666666269302368,1766320698.2144454
3429,1.1666666269302368,1766320724.9344866
3549,1.2000000476837158,1766320746.6531665
3625,1.192307710647583,1766320761.5085502
3765,1.2222222089767456,1766320785.803325
3951,1.2857142686843872,1766320817.6344402
4018,1.2857142686843872,1766320830.024776
4122,1.2413792610168457,1766320848.9906561
4393,1.4666666984558105,1766320893.3599792
4473,1.4838709831237793,1766320908.129514
4683,1.5625,1766320943.532545
4788,1.5625,1766320961.6120608
4868,1.545454502105713,1766320977.7083025
4945,1.5,1766320991.9238377
5063,1.485714316368103,1766321012.5827065
5192,1.5,1766321035.2433076
5333,1.5,1766321058.9723904
5440,1.5405405759811401,1766321078.613242
5581,1.5526316165924072,1766321103.505205
5654,1.5128204822540283,1766321117.6585176
5730,1.475000023841858,1766321133.185044
5887,1.475000023841858,1766321159.4512236
6029,1.487804889678955,1766321184.5052493
6108,1.5,1766321199.7332616
6185,1.465116262435913,1766321213.8221874
6262,1.4318181276321411,1766321229.2202413
6341,1.4318181276321411,1766321243.4448183
6468,1.399999976158142,1766321265.2934375
6701,1.47826087474823,1766321303.9580495
6776,1.4893616437911987,1766321317.9544706
6851,1.4583333730697632,1766321332.3544042
7077,1.4583333730697632,1766321369.1785333
7154,1.5102040767669678,1766321384.298829
7410,1.5800000429153442,1766321426.9434063
7485,1.5490195751190186,1766321441.5641983
7646,1.557692289352417,1766321469.448359
7806,1.557692289352417,1766321496.16715
7951,1.603773593902588,1766321521.0734372
8030,1.5740740299224854,1766321536.668017
8131,1.5636364221572876,1766321555.418643
8210,1.5357142686843872,1766321570.5844712
8392,1.5357142686843872,1766321600.764312
8496,1.561403512954712,1766321619.6959484
8597,1.5689655542373657,1766321638.9807582
8667,1.5423728227615356,1766321652.570442
8807,1.5499999523162842,1766321677.0866213
8972,1.5499999523162842,1766321704.5090168
9052,1.573770523071289,1766321719.6802125
9126,1.548387050628662,1766321734.107427
9269,1.5555555820465088,1766321759.0509753
9411,1.5625,1766321784.031738
9555,1.5625,1766321808.2936056
9634,1.5692307949066162,1766321824.0986922
9752,1.5606060028076172,1766321845.3648295
9829,1.537313461303711,1766321859.8625455
9949,1.529411792755127,1766321881.9081843
10050,1.529411792755127,1766321899.5614395
10254,1.52173912525177,1766321934.2015617
10413,1.5571428537368774,1766321961.6659722
10628,1.6056338548660278,1766321997.0550013
10733,1.5972222089767456,1766322016.7940943
10875,1.5972222089767456,1766322040.7106192
10955,1.602739691734314,1766322056.2935777
11029,1.5810810327529907,1766322069.9557803
11255,1.600000023841858,1766322106.8280737
11334,1.5921052694320679,1766322122.2123811
11452,1.5921052694320679,1766322142.4264715
11532,1.5844155550003052,1766322158.064212
11674,1.5641025304794312,1766322183.2173996
11749,1.5696202516555786,1766322198.3081357
11864,1.5625,1766322219.3512397
12003,1.5625,1766322242.808131
12077,1.5679012537002563,1766322257.0441647
12155,1.5487804412841797,1766322271.9463582
12282,1.5542168617248535,1766322294.3653383
12356,1.5357142686843872,1766322309.328361
12472,1.5357142686843872,1766322329.2388153
12589,1.541176438331604,1766322350.4357738
12707,1.534883737564087,1766322372.0894446
12810,1.528735637664795,1766322390.5720837
12955,1.5340908765792847,1766322416.5472815
13056,1.5340908765792847,1766322434.247203
13135,1.5280898809432983,1766322449.645879
13293,1.5222222805023193,1766322477.4162858
13397,1.5164835453033447,1766322496.9974043
13477,1.5108696222305298,1766322511.9528568
13596,1.5108696222305298,1766322532.366082
