step,value,wall_time
26128,26128.0,1766324776.198332
26267,26267.0,1766324799.6725237
26429,26429.0,1766324827.3588877
26503,26503.0,1766324841.8214426
26641,26641.0,1766324866.7786493
26714,26714.0,1766324882.193143
26791,26791.0,1766324896.1995177
26950,26950.0,1766324923.55804
27025,27025.0,1766324938.058479
27248,27248.0,1766324974.9463596
27362,27362.0,1766324994.7727158
27510,27510.0,1766325019.6684
27589,27589.0,1766325034.196403
27689,27689.0,1766325052.3205984
27766,27766.0,1766325067.2289045
27845,27845.0,1766325081.434732
27989,27989.0,1766325105.6144772
28068,28068.0,1766325120.9707808
28295,28295.0,1766325159.466518
28368,28368.0,1766325174.3475811
28510,28510.0,1766325200.1171443
28587,28587.0,1766325214.1045783
28666,28666.0,1766325229.9724991
28805,28805.0,1766325255.1475754
28965,28965.0,1766325282.18926
29041,29041.0,1766325297.1657987
29215,29215.0,1766325325.9633749
29372,29372.0,1766325353.3138463
29492,29492.0,1766325375.1053898
29743,29743.0,1766325416.9585469
29819,29819.0,1766325432.1219015
29895,29895.0,1766325445.976139
29970,29970.0,1766325460.391696
30087,30087.0,1766325481.2581592
30221,30221.0,1766325504.8056135
30334,30334.0,1766325525.6786144
30436,30436.0,1766325543.4123287
30513,30513.0,1766325557.9643128
30591,30591.0,1766325573.1308079
30730,30730.0,1766325597.783855
30842,30842.0,1766325617.083019
30957,30957.0,1766325636.8682342
31073,31073.0,1766325657.5051665
31214,31214.0,1766325681.7353425
31358,31358.0,1766325707.3625255
31476,31476.0,1766325728.4325407
31544,31544.0,1766325741.0296426
31713,31713.0,1766325770.4224033
31792,31792.0,1766325785.9062517
31894,31894.0,1766325804.3775604
32009,32009.0,1766325825.2464857
32086,32086.0,1766325839.1848536
32201,32201.0,1766325860.3044262
32279,32279.0,1766325874.7659001
32420,32420.0,1766325898.8560817
32539,32539.0,1766325920.78729
32679,32679.0,1766325944.4578695
32910,32910.0,1766325983.7039826
33031,33031.0,1766326005.727798
33190,33190.0,1766326033.368603
33266,33266.0,1766326048.4571068
33342,33342.0,1766326062.3724468
33471,33471.0,1766326085.89889
33543,33543.0,1766326099.6439118
33661,33661.0,1766326120.3629885
33736,33736.0,1766326134.7632048
33848,33848.0,1766326154.0823877
34029,34029.0,1766326185.018677
34147,34147.0,1766326205.4057856
