Wall_time,Step,Value
1774962746.3910851,8732,264.0
1774962759.4771357,8886,268.0
1774962770.0779965,9010,272.0
1774962785.2355783,9202,276.0
1774962793.1469848,9286,280.0
1774962804.6699493,9436,284.0
1774962815.6519387,9563,288.0
1774962823.9400938,9647,292.0
1774962834.4864302,9773,296.0
1774962842.050693,9855,300.0
1774962848.8804147,9939,304.0
1774962861.090344,10088,308.0
1774962868.1212595,10168,312.0
1774962877.6189232,10276,316.0
1774962891.1827438,10443,320.0
1774962898.0367537,10527,324.0
1774962912.6726115,10707,328.0
1774962932.512478,10962,332.0
1774962943.356518,11088,336.0
1774962957.3079386,11258,340.0
1774962968.6959147,11406,344.0
1774962976.4138918,11490,348.0
1774962990.6648164,11664,352.0
1774963004.6885297,11833,356.0
1774963012.3594544,11915,360.0
1774963029.030644,12135,364.0
1774963036.4488122,12215,368.0
1774963047.394713,12339,372.0
1774963058.1919076,12461,376.0
1774963067.9733346,12573,380.0
1774963077.6819825,12698,384.0
1774963089.8176205,12850,388.0
1774963112.4484537,13141,392.0
1774963120.1234312,13223,396.0
1774963130.5327668,13347,400.0
1774963141.2299337,13485,404.0
1774963151.9926295,13611,408.0
1774963164.8313785,13762,412.0
1774963175.232185,13888,416.0
1774963187.713085,14038,420.0
1774963197.6158288,14165,424.0
1774963205.2335408,14247,428.0
1774963217.5410109,14400,432.0
1774963242.5335574,14729,436.0
1774963250.6382403,14813,440.0
1774963259.1908512,14921,444.0
1774963266.5074506,15003,448.0
1774963277.7858324,15135,452.0
1774963290.4200454,15285,456.0
1774963300.1265235,15393,460.0
1774963309.7900686,15517,464.0
1774963317.0063195,15599,468.0
1774963324.7332108,15683,472.0
1774963332.130337,15764,476.0
1774963343.1513162,15888,480.0
1774963349.6966133,15968,484.0
1774963360.2968423,16092,488.0
1774963370.71239,16216,492.0
1774963381.71207,16347,496.0
1774963389.6419868,16429,500.0
1774963396.4475124,16513,504.0
1774963403.6563768,16595,508.0
1774963419.6197472,16790,512.0
1774963432.1184642,16944,516.0
1774963439.3626757,17026,520.0
1774963447.9032102,17134,524.0
1774963458.8230505,17259,528.0
1774963466.2096193,17341,532.0
1774963483.5815754,17561,536.0
1774963494.5728085,17687,540.0
1774963501.3821383,17771,544.0
1774963508.4225225,17851,548.0
1774963522.9605515,18023,552.0
1774963533.265321,18145,556.0
1774963540.2614112,18225,560.0
1774963551.6487544,18373,564.0
1774963562.5782447,18497,568.0
1774963570.022359,18578,572.0
1774963577.5838883,18658,576.0
1774963590.239719,18808,580.0
1774963600.7005389,18942,584.0
1774963608.3107255,19026,588.0
1774963618.5237257,19150,592.0
1774963625.7580633,19234,596.0
1774963638.2582972,19380,600.0
1774963647.7863002,19502,604.0
1774963655.6679547,19586,608.0
1774963663.6109629,19670,612.0
1774963670.9608824,19754,616.0
1774963682.3321009,19892,620.0
1774963692.16985,20018,624.0
1774963700.2773764,20100,628.0
1774963717.3523335,20318,632.0
1774963726.7365427,20423,636.0
1774963739.5133722,20571,640.0
1774963746.1710684,20653,644.0
1774963754.0058239,20735,648.0
1774963764.442758,20859,652.0
1774963780.3618264,21056,656.0
1774963792.4704676,21202,660.0
1774963799.2990558,21286,664.0
1774963810.1955307,21412,668.0
1774963824.6466172,21592,672.0
1774963843.3181977,21830,676.0
1774963857.076118,22002,680.0
1774963866.94561,22129,684.0
1774963882.0891929,22321,688.0
1774963896.1499906,22491,692.0
