#{"t_start": 1781071071.864104, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
27.0,2576,1402.196029
16.0,2473,1403.571881
34.0,4080,1405.88831
52.0,5450,1408.155194
16.0,3051,1410.102697
32.0,4566,1412.94022
27.0,2935,1414.76476
40.0,4538,1417.419145
13.0,2030,1418.575469
4.0,1135,1419.207264
42.0,4874,1421.981059
37.0,3593,1423.548984
16.0,2192,1424.471216
13.0,2227,1425.407538
11.0,1813,1429.866533
33.0,3667,1431.432469
29.0,2223,1432.349022
35.0,4069,1434.09773
29.0,3395,1435.520237
34.0,3891,1437.195354
26.0,3415,1437.821482
14.0,2423,1438.854263
26.0,2913,1440.096241
15.0,2744,1441.260983
22.0,3432,1442.693059
19.0,3109,1443.998974
47.0,5039,1446.123885
23.0,3288,1447.534621
27.0,2814,1448.852265
6.0,1353,1449.446592
11.0,2051,1450.391158
36.0,4160,1452.287827
20.0,2893,1453.591221
23.0,3364,1455.053667
20.0,3125,1456.474411
24.0,2902,1457.76867
33.0,3520,1459.283077
9.0,1963,1460.15052
10.0,1788,1460.946375
38.0,4821,1463.195296
30.0,3264,1464.629662
27.0,3684,1466.333804
16.0,2861,1467.62149
23.0,2518,1468.841033
18.0,2432,1469.171454
12.0,2299,1470.310632
11.0,1983,1471.290567
35.0,4127,1473.246831
10.0,1907,1479.08802
21.0,3444,1480.737653
8.0,1583,1481.446754
22.0,3261,1482.966853
32.0,3772,1484.676446
17.0,2944,1486.026067
25.0,3829,1487.893959
17.0,2044,1488.89648
25.0,3438,1490.593208
57.0,5609,1493.474577
29.0,2743,1494.849405
41.0,3940,1496.882787
8.0,1646,1497.800889
31.0,3800,1499.686134
38.0,4514,1500.92007
20.0,2524,1502.10145
53.0,5228,1504.644699
29.0,2899,1506.092338
42.0,4357,1508.124527
24.0,2113,1509.094067
18.0,2607,1510.42631
36.0,3216,1512.008037
64.0,5164,1514.589443
31.0,3758,1516.579129
39.0,3708,1518.478305
20.0,3253,1519.960637
47.0,4605,1522.182575
11.0,2071,1523.131231
17.0,2939,1524.486664
19.0,2921,1525.870293
39.0,4672,1532.688016
44.0,4575,1534.048082
28.0,3348,1535.70933
33.0,4183,1537.935282
28.0,3847,1539.809213
38.0,3819,1541.645644
30.0,3366,1543.244622
18.0,2677,1544.554561
28.0,3707,1546.343876
16.0,2933,1547.75767
20.0,2582,1549.018456
41.0,4396,1551.151788
26.0,2628,1552.446148
22.0,3613,1554.283973
11.0,1929,1555.238873
32.0,3423,1557.028218
63.0,4642,1559.340971
12.0,2065,1560.316116
26.0,3263,1561.832865
25.0,2854,1563.241484
38.0,3494,1564.031442
71.0,6525,1567.197251
44.0,4060,1569.225241
15.0,2499,1570.448508
41.0,4579,1572.756932
58.0,5304,1575.440174
14.0,2464,1576.693623
43.0,4369,1578.812624
32.0,3701,1586.908758
51.0,4476,1589.122998
39.0,4320,1591.219845
31.0,2993,1592.767839
65.0,5554,1595.60441
4.0,1117,1595.306654
40.0,4343,1597.454165
35.0,3278,1598.993712
31.0,3483,1600.665366
21.0,3759,1602.453242
37.0,4287,1604.532596
44.0,4240,1606.644419
28.0,3628,1608.370632
28.0,3090,1609.885479
48.0,5000,1612.335681
25.0,3319,1613.950576
52.0,5087,1616.521322
84.0,6419,1619.708396
31.0,4664,1621.978821
60.0,5733,1624.717184
49.0,4797,1627.034853
29.0,3284,1627.727198
23.0,3321,1629.29696
26.0,3349,1630.948832
39.0,4360,1633.172137
7.0,1413,1633.842994
32.0,3857,1641.238935
70.0,5706,1644.005011
19.0,3251,1645.617317
16.0,2728,1646.944705
44.0,4221,1648.999444
22.0,2620,1650.310891
20.0,3068,1651.836472
37.0,3801,1653.946426
60.0,5223,1657.100441
39.0,3931,1658.784255
44.0,4471,1661.794565
50.0,4024,1664.402047
19.0,3203,1666.257878
75.0,7132,1670.567977
63.0,6227,1674.550784
54.0,5170,1677.928231
29.0,3924,1680.512144
25.0,3764,1682.761021
44.0,4599,1685.478967
74.0,5855,1689.246733
106.0,6782,1692.82338
35.0,3824,1695.252425
62.0,5424,1698.439368
63.0,4684,1710.579838
48.0,4668,1713.305429
28.0,3748,1715.515388
46.0,4372,1718.29753
66.0,5948,1722.20588
41.0,4135,1723.938055
58.0,5651,1727.435053
38.0,4146,1730.221521
39.0,4229,1733.101269
40.0,4444,1735.901176
63.0,5630,1739.670103
33.0,3923,1742.306552
35.0,4242,1745.296125
79.0,5686,1749.059266
32.0,4186,1751.744698
48.0,5119,1754.29545
55.0,5347,1757.590549
82.0,5676,1761.30625
35.0,3677,1763.75042
55.0,4978,1766.904566
50.0,4535,1769.615377
43.0,3848,1781.819889
40.0,4772,1784.625355
62.0,5395,1786.994876
56.0,4932,1790.335479
65.0,5148,1793.636908
50.0,4114,1796.154568
66.0,5252,1799.353945
15.0,2766,1801.000186
44.0,4329,1803.764029
59.0,5490,1807.50685
265.0,5359,1811.122651
65.0,5621,1814.563081
45.0,4591,1817.417918
39.0,4027,1819.38702
33.0,3984,1822.041709
33.0,3337,1824.288623
72.0,6269,1828.044276
73.0,6087,1831.79288
46.0,4221,1834.634865
28.0,3711,1837.112901
38.0,4523,1840.10727
52.0,4148,1842.586579
54.0,5580,1854.583543
27.0,3074,1856.409994
15.0,2836,1858.165008
44.0,4180,1860.772735
37.0,3711,1863.332477
66.0,5353,1867.054985
48.0,4943,1870.217119
38.0,4002,1872.729097
59.0,5766,1876.40949
64.0,4870,1879.768395
74.0,6357,1883.110959
59.0,6172,1886.863612
44.0,3620,1889.257048
51.0,5187,1892.681209
31.0,4160,1895.525556
51.0,5265,1899.075057
74.0,4636,1902.192646
51.0,4735,1905.359562
59.0,5276,1908.82613
69.0,5236,1911.474225
98.0,6121,1915.648026
44.0,3005,1917.672147
23.0,3502,1931.362133
75.0,5268,1934.795019
77.0,5896,1938.766291
41.0,4201,1941.557884
59.0,4642,1943.812985
79.0,6280,1948.080352
47.0,4005,1950.882132
96.0,6182,1955.173221
59.0,5458,1958.826416
65.0,4645,1962.01353
80.0,5602,1965.781333
94.0,6955,1970.626371
93.0,6534,1975.018388
69.0,4761,1977.394786
36.0,4465,1980.398065
58.0,5188,1983.968061
36.0,4319,1987.036072
96.0,4805,1990.375521
85.0,6540,1994.899741
58.0,4455,2009.765015
54.0,5316,2013.028263
32.0,3385,2015.085799
91.0,6042,2018.749821
61.0,4243,2021.349088
59.0,5132,2024.56118
47.0,4665,2027.412974
61.0,5635,2030.863348
91.0,6849,2035.097328
84.0,5728,2038.565966
72.0,5422,2041.034367
83.0,6764,2045.163004
78.0,6185,2048.940988
96.0,5283,2052.255037
90.0,5888,2055.803819
161.0,6507,2060.00828
74.0,6113,2064.284268
66.0,5184,2067.921127
46.0,2597,2069.680977
72.0,6213,2085.735513
185.0,6401,2090.127948
57.0,4939,2093.637714
75.0,5652,2097.614545
83.0,6497,2101.802694
89.0,5763,2104.999712
83.0,6005,2108.917274
134.0,4125,2111.449532
57.0,4696,2114.394201
81.0,6294,2118.732731
111.0,5878,2122.753687
54.0,4113,2125.293168
94.0,5461,2128.713287
72.0,5488,2132.443903
91.0,6455,2136.064876
86.0,6709,2140.237294
73.0,5198,2143.486993
132.0,6527,2148.000808
62.0,3885,2163.539174
63.0,4500,2165.642587
54.0,5524,2169.114287
79.0,5550,2172.654571
32.0,3880,2175.410243
76.0,4273,2178.350606
48.0,4499,2181.295808
74.0,5589,2184.78283
59.0,4674,2187.847293
57.0,5094,2191.482171
79.0,5220,2195.20357
82.0,5358,2197.748999
62.0,4932,2200.893906
53.0,3586,2203.339682
103.0,7034,2208.286966
89.0,5454,2211.804716
88.0,6246,2215.723126
47.0,5027,2219.299046
52.0,4486,2222.501573
53.0,5105,2225.905694
53.0,5015,2240.855002
102.0,6759,2245.194449
62.0,5559,2249.047539
142.0,4618,2252.369263
20.0,2738,2254.299718
40.0,3650,2256.626096
73.0,5187,2259.916766
85.0,4427,2262.101521
66.0,5162,2265.767138
73.0,3693,2268.301354
52.0,4846,2271.327667
73.0,3895,2273.736526
66.0,4955,2277.10233
56.0,5391,2280.886022
292.0,7642,2285.893084
83.0,5424,2289.305367
80.0,5854,2292.431905
118.0,6774,2297.137361
63.0,5081,2300.337399
73.0,5289,2303.671124
90.0,5471,2319.950177
113.0,6206,2323.444051
99.0,6953,2328.110798
77.0,4891,2331.148118
82.0,5235,2334.568868
115.0,3949,2337.301967
98.0,5300,2341.085585
63.0,5082,2344.263644
58.0,5713,2347.882723
61.0,5076,2351.511841
172.0,6357,2355.10461
155.0,7306,2360.265785
109.0,6014,2364.668693
82.0,5137,2368.366089
92.0,5600,2372.340205
34.0,3974,2375.082989
110.0,6193,2379.370849
62.0,5853,2383.477906
125.0,7584,2399.218683
94.0,5233,2402.962299
101.0,5600,2406.90068
51.0,3686,2409.550889
84.0,6156,2413.891856
70.0,5230,2417.627434
78.0,6472,2421.422805
162.0,6129,2425.832361
62.0,5255,2429.556556
105.0,6019,2433.869795
38.0,4195,2436.834364
66.0,4640,2440.087256
179.0,5050,2443.653379
157.0,5778,2447.68846
276.0,6919,2451.688824
72.0,5084,2455.225835
88.0,6108,2459.60747
67.0,4738,2462.955269
162.0,6396,2482.672853
58.0,5679,2486.630079
128.0,5920,2490.900705
139.0,6984,2495.904579
129.0,6556,2500.528381
256.0,7260,2505.730723
158.0,6213,2510.154775
106.0,6044,2513.601334
58.0,5300,2517.332477
38.0,4422,2520.506797
45.0,4656,2523.067383
155.0,7224,2527.413665
115.0,6438,2531.763154
64.0,5788,2534.719638
53.0,5466,2537.809279
172.0,7045,2542.47977
80.0,4823,2544.435578
67.0,5725,2558.200397
77.0,5086,2560.846336
56.0,3923,2562.831677
35.0,4170,2564.885584
212.0,6210,2568.81411
83.0,6313,2573.287006
270.0,7531,2576.252991
89.0,5426,2579.034121
67.0,5444,2582.187871
239.0,6357,2586.676683
59.0,4868,2590.20778
48.0,4190,2593.069992
67.0,5537,2596.935132
77.0,5397,2600.772026
88.0,5484,2604.553533
54.0,5234,2607.361722
126.0,5979,2611.640943
103.0,6394,2616.164902
103.0,6350,2630.159978
72.0,6319,2634.639748
80.0,6256,2639.157722
116.0,5987,2642.48352
132.0,7041,2647.512561
85.0,6039,2651.736623
51.0,4412,2654.867211
85.0,6003,2659.164377
42.0,4870,2662.767308
67.0,4678,2666.144106
36.0,4052,2669.009192
58.0,4617,2671.350968
42.0,4314,2674.430342
71.0,5439,2678.23562
77.0,4935,2681.784717
265.0,6444,2686.448067
72.0,4575,2689.759215
78.0,5384,2693.682636
91.0,5989,2698.002373
55.0,4990,2714.112245
103.0,5890,2718.219302
30.0,3596,2720.713837
64.0,4967,2724.242489
65.0,5345,2727.902651
82.0,5073,2731.328009
59.0,4477,2734.11174
90.0,5516,2736.69918
79.0,5480,2740.130576
100.0,4719,2743.089971
18.0,2723,2744.772348
93.0,5521,2748.253396
72.0,4586,2751.109574
80.0,5857,2754.736331
110.0,6179,2758.668136
83.0,4428,2761.468798
98.0,6110,2765.282171
36.0,4045,2766.945932
74.0,5333,2770.287993
33.0,3498,2772.551438
61.0,5337,2775.857483
79.0,4988,2788.614401
56.0,4296,2791.335289
90.0,5899,2795.046156
76.0,4952,2797.263903
109.0,5753,2800.932252
77.0,6036,2804.811199
63.0,5550,2808.293535
76.0,5812,2811.985437
59.0,4590,2814.864307
114.0,6241,2818.751563
73.0,5348,2822.099646
18.0,2338,2823.57231
92.0,5148,2826.735457
112.0,6197,2829.722314
206.0,5912,2833.398791
104.0,6686,2837.532274
46.0,4846,2840.552964
75.0,4840,2843.588022
321.0,7824,2859.845101
54.0,5517,2862.427419
146.0,6816,2866.718418
98.0,5910,2870.430333
88.0,5639,2873.918676
65.0,5562,2877.366278
112.0,5222,2880.653993
107.0,5333,2883.975099
67.0,4115,2886.576834
41.0,4403,2889.652459
92.0,6335,2893.228792
85.0,5782,2897.366736
125.0,7334,2902.733221
143.0,6680,2907.555347
77.0,4788,2910.987978
104.0,5579,2914.97207
92.0,5783,2918.834087
86.0,3234,2920.875511
109.0,5426,2924.263372
41.0,3183,2937.699621
124.0,6797,2942.293903
90.0,5066,2945.841606
107.0,5751,2949.559864
103.0,5518,2953.013363
168.0,5452,2955.882909
148.0,6842,2960.765213
115.0,5682,2964.36006
117.0,5813,2968.209467
117.0,6243,2972.594695
108.0,6103,2976.607468
77.0,4827,2979.628521
124.0,5781,2983.449257
85.0,4424,2986.508988
47.0,3481,2988.046911
141.0,6807,2992.481368
71.0,5123,2995.659814
51.0,5493,2999.516988
88.0,4994,3016.231851
161.0,8252,3020.814499
126.0,6739,3025.065714
213.0,6788,3029.827035
113.0,6157,3034.060548
267.0,4285,3036.737476
151.0,6616,3041.021708
95.0,6758,3045.915543
48.0,4663,3049.125025
223.0,7436,3052.928914
168.0,4563,3055.745612
129.0,6704,3060.404484
297.0,7783,3065.851983
138.0,6514,3069.951254
22.0,3266,3072.002818
69.0,4946,3075.431717
23.0,1719,3076.600867
102.0,6680,3091.995419
74.0,6290,3096.535064
23.0,3183,3098.778113
114.0,6970,3103.121754
75.0,5681,3106.716439
110.0,7045,3111.680758
65.0,5977,3114.835398
259.0,7047,3119.316257
76.0,5037,3122.748906
83.0,4780,3126.004328
39.0,4094,3128.79714
172.0,6552,3132.982851
134.0,6521,3137.22719
112.0,6505,3141.880242
6.0,1473,3142.948459
144.0,6981,3146.54842
48.0,3985,3149.079887
25.0,3498,3151.406571
100.0,6738,3156.119365
172.0,7126,3172.934091
120.0,5585,3176.392428
126.0,5936,3179.421468
27.0,3024,3181.614022
102.0,6238,3186.187074
23.0,2822,3187.947156
110.0,5403,3191.417863
331.0,5782,3195.22705
86.0,5566,3199.211704
299.0,3912,3201.89228
127.0,7213,3206.390177
87.0,6770,3210.13104
83.0,4903,3213.63611
126.0,5665,3217.467165
71.0,4212,3220.105881
151.0,5047,3223.306375
90.0,5439,3227.135307
35.0,3844,3229.830711
63.0,4434,3232.717114
132.0,5931,3246.24725
57.0,3531,3248.411481
58.0,4008,3250.927911
76.0,4951,3254.289332
104.0,5754,3258.239413
46.0,4108,3260.926469
136.0,6582,3265.075825
73.0,5029,3268.389967
122.0,6280,3271.814296
66.0,5184,3275.311881
45.0,4396,3278.104835
242.0,6873,3282.540183
104.0,6384,3287.017387
116.0,6729,3291.487334
46.0,4590,3294.3771
95.0,5911,3298.455748
25.0,3668,3301.179147
110.0,5067,3303.873945
112.0,5945,3307.662954
37.0,3119,3309.666789
117.0,6295,3325.329886
74.0,4626,3328.586484
72.0,5964,3332.859725
162.0,6577,3336.665948
71.0,5067,3340.166613
58.0,4123,3342.994109
270.0,6488,3348.424942
36.0,3962,3350.859048
61.0,4080,3353.023217
248.0,4489,3355.461176
223.0,4198,3357.6827
71.0,4866,3360.407181
274.0,6613,3364.061675
118.0,5759,3366.428685
107.0,5944,3369.420041
68.0,4256,3371.584922
71.0,5611,3375.173305
70.0,5597,3378.177292
111.0,5542,3380.840686
149.0,5759,3396.111432
89.0,5262,3398.513844
113.0,6340,3402.940554
66.0,6115,3407.170362
99.0,4345,3409.930346
198.0,6057,3413.734971
259.0,7092,3418.789487
92.0,6498,3423.099374
102.0,5948,3426.869954
47.0,4923,3429.308008
99.0,6488,3434.020349
100.0,5738,3437.928059
244.0,7722,3442.89585
115.0,5961,3447.124801
54.0,5002,3450.692602
93.0,5882,3454.430905
147.0,6079,3458.323591
58.0,4960,3472.955911
88.0,4974,3476.491794
56.0,4886,3479.978083
103.0,5832,3483.68975
89.0,4924,3486.764349
123.0,6430,3491.536785
76.0,5573,3494.523113
283.0,4443,3497.38624
213.0,6385,3501.499747
111.0,5650,3505.558891
82.0,5173,3509.24236
65.0,4103,3511.828515
152.0,5640,3515.437712
216.0,5645,3518.991896
71.0,5278,3522.570752
285.0,7248,3526.830494
81.0,5882,3530.564802
139.0,6387,3534.552481
130.0,7416,3551.255039
262.0,6341,3555.742864
81.0,5349,3558.661846
181.0,7259,3563.710463
322.0,8082,3569.158762
102.0,5968,3572.959679
165.0,6820,3577.641127
112.0,5705,3581.787436
56.0,4695,3584.866348
105.0,4762,3587.868489
247.0,5404,3590.596271
194.0,5957,3594.420978
107.0,5743,3597.283878
59.0,5426,3599.994371
68.0,4583,3602.292399
92.0,4791,3604.69302
52.0,4543,3606.991729
115.0,6981,3610.596408
109.0,5697,3622.731652
135.0,7597,3626.507707
71.0,5778,3629.292774
34.0,4286,3631.342603
187.0,5143,3633.786935
92.0,4947,3636.149577
64.0,5608,3639.303401
84.0,6101,3643.58582
39.0,3725,3646.128561
124.0,5870,3650.016755
218.0,6175,3653.032256
105.0,5711,3656.91022
28.0,3809,3659.615203
92.0,6054,3663.641464
68.0,4063,3666.23061
64.0,3388,3668.403328
96.0,6416,3672.891645
87.0,5986,3677.281446
108.0,6070,3691.94679
92.0,6002,3695.839257
69.0,5481,3699.548335
130.0,5800,3703.754566
213.0,5241,3707.381104
53.0,3568,3709.646222
83.0,6109,3713.601387
39.0,4411,3715.853122
55.0,4057,3718.857654
51.0,4119,3721.759258
49.0,4620,3724.724967
322.0,4151,3727.306096
243.0,4251,3730.347835
70.0,5225,3734.113674
156.0,5957,3738.116471
143.0,7353,3742.812181
113.0,6316,3746.474116
106.0,6256,3750.852139
68.0,5872,3754.566736
186.0,6815,3771.85229
59.0,4801,3775.168556
168.0,4494,3777.505616
212.0,7181,3782.10196
120.0,6520,3786.350634
121.0,6415,3791.000906
82.0,5379,3794.627296
77.0,5600,3798.167281
271.0,6820,3802.62524
105.0,5468,3806.467747
249.0,4028,3809.212121
190.0,4507,3811.180158
52.0,4081,3813.754638
30.0,2576,3815.370543
99.0,5701,3819.362744
44.0,5084,3822.849509
116.0,4790,3825.871961
277.0,4372,3828.629585
79.0,3989,3831.216708
102.0,5623,3835.141501
320.0,5145,3849.061151
125.0,6853,3853.863093
99.0,5752,3857.531855
189.0,6546,3862.042161
140.0,6068,3866.011327
213.0,7472,3871.273227
216.0,6211,3874.693782
119.0,5897,3878.495456
160.0,6602,3882.899958
313.0,7097,3887.851982
40.0,4470,3890.878552
118.0,6039,3895.094646
115.0,6520,3899.682271
229.0,5095,3903.252996
265.0,5582,3906.422991
113.0,5998,3910.559123
304.0,4428,3913.624098
232.0,4638,3927.835943
90.0,5069,3931.049134
167.0,5896,3935.173265
293.0,3430,3936.752212
113.0,5278,3940.184086
114.0,5955,3943.894985
145.0,5291,3947.466783
340.0,4855,3950.898431
112.0,6057,3954.900538
372.0,6740,3959.039086
295.0,5908,3963.018922
216.0,6543,3967.604009
249.0,5643,3970.346185
123.0,5998,3974.151946
50.0,4835,3977.148667
144.0,6091,3980.9289
72.0,4478,3983.697489
120.0,6102,3987.532923
61.0,3902,3990.009761
348.0,5000,4002.817184
91.0,5203,4006.139637
46.0,4584,4009.099513
269.0,5914,4012.78716
219.0,6351,4016.757612
165.0,6239,4020.690779
88.0,4744,4023.684005
129.0,6073,4027.638205
172.0,6843,4031.549567
350.0,5719,4035.115924
175.0,3828,4037.521648
136.0,6750,4042.270373
78.0,4641,4045.600423
95.0,5322,4049.010187
102.0,4859,4052.093361
314.0,6956,4057.04422
244.0,5077,4060.681585
97.0,5834,4063.487824
290.0,6580,4080.513036
46.0,5615,4084.342916
286.0,2696,4086.21114
156.0,5951,4090.256798
207.0,5141,4093.533468
322.0,4779,4095.599926
266.0,7331,4100.716058
108.0,6109,4104.791811
131.0,6924,4109.214832
142.0,6122,4113.360324
246.0,7568,4118.776888
81.0,4255,4121.506965
148.0,6374,4125.594656
166.0,6958,4129.669759
98.0,5199,4133.305922
177.0,6006,4137.107898
110.0,6351,4141.181943
223.0,5899,4157.81114
149.0,5769,4161.723656
117.0,5770,4165.318856
85.0,4668,4168.257235
64.0,3296,4170.536406
227.0,6464,4175.046616
140.0,6469,4179.248942
90.0,4736,4182.197583
83.0,5160,4185.606026
43.0,3584,4188.136729
91.0,4485,4190.348716
255.0,7333,4195.041618
122.0,5917,4198.892308
257.0,6147,4203.268386
139.0,6486,4207.640094
91.0,5919,4211.38181
98.0,4675,4214.445857
64.0,6022,4217.654455
123.0,6005,4220.490049
210.0,5287,4232.449954
186.0,4851,4235.50499
150.0,6875,4239.986291
141.0,6962,4244.906816
85.0,5459,4248.525967
47.0,3543,4250.7803
194.0,7489,4254.659241
98.0,4900,4257.786084
48.0,3781,4260.43358
113.0,6082,4264.792329
210.0,6142,4268.78405
97.0,4124,4271.358405
136.0,5647,4275.048634
298.0,6662,4279.666699
238.0,6393,4283.856217
11.0,2117,4284.316545
301.0,6527,4288.505065
135.0,7044,4293.667762
116.0,5626,4309.041999
182.0,5612,4312.670864
43.0,3751,4315.023621
205.0,8275,4319.752939
88.0,5139,4323.481486
173.0,7152,4328.063111
169.0,6375,4332.103853
271.0,6947,4336.558203
242.0,5263,4339.952639
144.0,6591,4344.606577
133.0,5399,4347.444853
212.0,7265,4352.035645
256.0,5268,4355.594826
286.0,6593,4360.245552
167.0,7142,4364.870819
137.0,6160,4368.717391
61.0,4948,4380.45066
110.0,5657,4383.857072
243.0,3457,4385.6632
122.0,6529,4389.121804
142.0,3368,4391.147911
140.0,7434,4395.580353
319.0,4935,4398.112307
186.0,6153,4402.378721
318.0,4358,4405.119558
136.0,6093,4408.590378
127.0,6855,4411.34191
257.0,6720,4414.853552
156.0,4723,4417.273306
260.0,4983,4420.023483
131.0,6818,4424.932676
218.0,5359,4428.751338
193.0,6745,4433.58679
109.0,5876,4437.783376
147.0,6444,4455.648839
68.0,4201,4458.596817
141.0,6184,4462.969989
169.0,4374,4466.044856
130.0,5972,4470.324871
177.0,6708,4474.18133
117.0,6241,4478.619087
223.0,5834,4482.817358
185.0,5701,4486.858378
167.0,6053,4491.235219
195.0,6855,4496.006494
143.0,6335,4500.593982
155.0,4051,4503.522889
53.0,5061,4506.19732
184.0,5042,4509.793601
207.0,7094,4514.869054
138.0,5693,4518.959453
174.0,5219,4522.65323
154.0,6220,4540.839884
115.0,5902,4544.952604
111.0,4485,4548.12408
128.0,5555,4552.058639
227.0,7446,4557.196965
93.0,4511,4560.349025
201.0,7172,4565.353723
61.0,4538,4567.658944
240.0,6785,4572.501193
295.0,5813,4576.632712
129.0,5867,4580.810314
56.0,5690,4584.823246
71.0,4837,4588.247171
231.0,6303,4592.756358
110.0,5662,4596.738895
110.0,4644,4600.018619
228.0,6221,4603.562393
357.0,6632,4625.216639
171.0,6813,4630.08509
146.0,5708,4633.239038
131.0,5876,4637.27197
287.0,7100,4642.289527
111.0,5778,4646.342261
184.0,5415,4650.171903
276.0,6753,4654.97739
221.0,6102,4659.343118
258.0,6495,4663.010832
242.0,5994,4667.17863
75.0,4434,4670.300093
265.0,5108,4673.815164
194.0,6928,4678.738657
108.0,6385,4683.200023
150.0,6196,4687.577574
171.0,6861,4692.422013
202.0,6588,4708.68071
213.0,5653,4712.655627
276.0,6304,4717.097794
114.0,5556,4720.975507
135.0,6755,4725.703933
186.0,7046,4729.777381
260.0,6781,4734.527262
70.0,5545,4738.441931
117.0,5858,4742.599767
89.0,4878,4746.029674
156.0,4783,4749.389329
267.0,5151,4752.953759
287.0,8073,4757.814102
142.0,5710,4761.897105
38.0,4490,4765.049797
106.0,5045,4768.605246
81.0,5443,4772.468339
234.0,5232,4790.074083
133.0,6217,4794.447051
290.0,6624,4799.1659
184.0,7110,4804.146516
86.0,6184,4808.470924
70.0,4191,4811.42631
274.0,7940,4816.954143
141.0,7310,4821.199709
105.0,6854,4825.945517
104.0,5014,4829.453283
105.0,4990,4832.955826
234.0,4579,4836.154025
179.0,5362,4839.88065
264.0,6178,4844.14091
160.0,5279,4847.838816
215.0,6681,4852.577094
104.0,5316,4855.309139
194.0,6042,4874.199816
149.0,7114,4879.195661
151.0,6865,4884.033417
107.0,5734,4887.155226
211.0,6423,4891.672144
333.0,7102,4896.715262
211.0,5675,4900.696727
113.0,4668,4904.013583
204.0,7024,4908.949845
178.0,6398,4913.44015
163.0,6552,4917.097993
6.0,1449,4918.102391
196.0,5628,4922.0443
121.0,5039,4925.575099
125.0,3750,4928.209858
222.0,4662,4931.465208
274.0,6007,4935.680457
190.0,6433,4940.175587
143.0,4536,4956.883118
315.0,5949,4961.04735
152.0,4440,4964.136191
239.0,6603,4968.818046
29.0,2968,4970.862804
231.0,7938,4976.446933
180.0,5052,4979.041013
93.0,6286,4983.446321
239.0,6812,4988.295572
123.0,5863,4992.442827
178.0,5526,4996.273235
201.0,7071,5001.202374
243.0,5872,5005.340007
161.0,6140,5009.682138
130.0,6443,5012.61768
196.0,7031,5015.990392
287.0,3907,5017.824279
198.0,6581,5028.797296
115.0,6286,5031.823106
261.0,4820,5034.152002
210.0,5698,5036.880651
167.0,6016,5039.805345
154.0,5113,5042.263693
190.0,4706,5043.667203
188.0,5824,5046.461283
129.0,5227,5048.969212
236.0,5035,5051.394691
168.0,4531,5053.562559
102.0,6514,5056.877866
266.0,5742,5059.845971
200.0,7258,5063.550893
111.0,6158,5066.735454
152.0,6916,5070.112791
148.0,6035,5073.034672
142.0,6155,5076.191715
132.0,6765,5093.892345
191.0,5832,5097.604625
213.0,5148,5100.85667
127.0,5045,5104.491267
192.0,7010,5108.64615
180.0,7158,5113.412199
281.0,6176,5117.336995
248.0,3904,5120.079525
223.0,7344,5125.444566
213.0,6370,5129.478309
233.0,6721,5133.832439
175.0,5687,5137.046704
156.0,6206,5141.335457
162.0,6580,5145.581167
214.0,7178,5150.573933
250.0,5831,5154.780455
45.0,4677,5157.810097
245.0,7135,5175.18858
213.0,7165,5180.282205
132.0,6584,5184.996218
192.0,6230,5188.946763
102.0,4754,5191.973019
147.0,6718,5196.971952
137.0,5295,5200.623397
156.0,4652,5202.684589
346.0,7700,5207.612273
199.0,6186,5212.047261
297.0,6489,5216.264661
42.0,4183,5218.902717
112.0,6690,5223.369945
215.0,6338,5227.993689
261.0,6335,5232.125043
177.0,6284,5235.240647
101.0,4818,5252.263304
218.0,6474,5256.891896
132.0,6495,5261.06293
90.0,5644,5263.78246
207.0,6756,5268.641596
175.0,3901,5271.455195
225.0,6675,5275.735898
202.0,6927,5280.245712
311.0,7739,5285.780814
222.0,6896,5290.424664
233.0,6509,5294.53166
193.0,7685,5299.074638
111.0,6738,5303.511249
167.0,7051,5307.923769
146.0,6269,5312.314854
143.0,7513,5328.879778
229.0,6121,5332.908709
152.0,7090,5337.360789
259.0,6983,5342.284651
161.0,7327,5347.189814
91.0,5254,5350.487164
35.0,4165,5353.205824
181.0,5787,5357.173662
124.0,5013,5359.739228
237.0,3396,5361.899858
218.0,6379,5365.837287
56.0,4407,5368.89959
251.0,6776,5373.666056
132.0,6790,5377.996353
207.0,7335,5382.749413
176.0,6117,5387.014122
48.0,4115,5389.775972
92.0,5669,5392.473431
74.0,4151,5407.928048
73.0,6235,5410.944446
266.0,5992,5413.871814
186.0,5320,5416.455718
207.0,6270,5419.52371
158.0,6451,5421.7537
167.0,7162,5425.192393
211.0,6536,5428.350359
57.0,4296,5430.486192
252.0,5460,5433.173984
186.0,5355,5435.760137
274.0,3011,5437.202517
195.0,6598,5440.459967
179.0,6201,5443.671399
135.0,6240,5446.768392
193.0,6912,5450.225801
194.0,7277,5454.083394
138.0,6534,5475.900731
213.0,5483,5479.724893
155.0,4366,5482.617251
149.0,6073,5484.610982
152.0,6693,5487.798063
337.0,6813,5491.012455
314.0,7529,5494.648231
188.0,6107,5497.562806
254.0,7950,5501.713665
310.0,6546,5505.16874
266.0,6890,5508.566353
163.0,3104,5510.075929
307.0,8266,5515.026366
191.0,6469,5518.75342
220.0,4864,5522.209682
171.0,4879,5525.770036
205.0,7286,5546.660247
302.0,5039,5549.331716
219.0,7082,5554.314375
178.0,6508,5558.988919
236.0,6334,5563.563185
203.0,5739,5567.670303
247.0,6924,5572.677625
